variant	qualifier	member	arity	class	in_all	has_decl	has_scheme	in_first_schemed	in_canon_qual	has_lower_arm	runtime_sym	runtime_sym_exists	ref_runtime_sym_exists	in_ref_stdlib	status
ErrorUnexpected	Error	unexpected	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_unexpected	Y	N	N	OK
ErrorInvalidInput					Y	N	Y	Y	N	Y	sky_error_invalid_input	Y	N	N	OK
ErrorIo	Error	io	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_io	Y	N	N	OK
ErrorNetwork	Error	network	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_network	Y	N	N	OK
ErrorFfi	Error	ffi	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_ffi	Y	N	N	OK
ErrorDecode	Error	decode	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_decode	Y	N	N	OK
ErrorConflict	Error	conflict	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_conflict	Y	N	N	OK
ErrorUnavailable	Error	unavailable	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_unavailable	Y	N	N	OK
ErrorTimeout	Error	timeout	0	Pure	Y	Y	Y	Y	Y	Y	sky_error_timeout	Y	N	N	OK
ErrorNotFound	Error	notFound	0	Pure	Y	Y	Y	Y	Y	Y	sky_error_not_found	Y	N	N	OK
ErrorPermissionDenied					Y	N	Y	Y	N	Y	sky_error_permission_denied	Y	N	N	OK
ErrorToString	Error	toString	1	Pure	Y	Y	Y	Y	Y	Y	basics_error_to_string	Y	N	N	OK
ErrorWithMessage					Y	N	Y	Y	N	Y	sky_error_with_message	Y	N	N	OK
ErrorIsRetryable	Error	isRetryable	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_is_retryable	Y	N	N	OK
ErrorWithDetails					Y	N	Y	Y	N	Y	sky_error_with_details	Y	N	N	OK
CssSafetySafeValue	CssSafety	safeValue	1	Pure	Y	Y	Y	Y	Y	Y	safe_value	Y	N	N	OK
CssSafetySafePropName					Y	N	Y	Y	N	Y	safe_prop_name	Y	N	N	OK
CssSafetySafeSelector					Y	N	Y	Y	N	Y	safe_selector	Y	N	N	OK
CssSafetyStripStyleClose					Y	N	Y	Y	N	Y	strip_style_close_kernel	Y	N	N	OK
MaybeWithDefault	Maybe	withDefault	2	Pure	Y	Y	Y	N	Y	Y	maybe_with_default	Y	N	N	OK
MaybeMap	Maybe	map	2	Pure	Y	Y	Y	N	Y	Y	sky_maybe_map	Y	N	N	OK
MaybeAndThen	Maybe	andThen	2	Pure	Y	Y	Y	N	Y	Y	sky_maybe_and_then	Y	N	N	OK
MaybeMap2	Maybe	map2	3	Pure	Y	Y	Y	Y	Y	Y	maybe_map2	Y	N	N	OK
MaybeMap3	Maybe	map3	4	Pure	Y	Y	Y	Y	Y	Y	maybe_map3	Y	N	N	OK
MaybeMap4	Maybe	map4	5	Pure	Y	Y	Y	Y	Y	Y	maybe_map4	Y	N	N	OK
MaybeMap5	Maybe	map5	6	Pure	Y	Y	Y	Y	Y	Y	maybe_map5	Y	N	N	OK
MaybeAndMap	Maybe	andMap	2	Pure	Y	Y	Y	Y	Y	Y	maybe_and_map	Y	N	N	OK
MaybeCombine	Maybe	combine	1	Pure	Y	Y	Y	Y	Y	Y	maybe_combine	Y	N	N	OK
ResultWithDefault	Result	withDefault	2	Pure	Y	Y	Y	N	Y	Y	result_with_default	Y	N	N	OK
